cluster,1,2,3,4,5
0,0,1,1,0,0
1,4,3,3,4,4
2,1,2,2,1,1
3,0,1,1,1,0
4,3,4,3,3,3
5,1,0,0,0,1
6,21,22,22,22,21
7,1,0,0,0,1
8,1,0,0,0,1
9,1,0,0,1,1
10,1,1,0,0,1
11,0,0,1,1,0
12,1,1,1,1,0
13,4,3,4,4,4
14,10,10,10,10,10
