fold,n_test_groups,nn_dist_mean,nn_dist_median,nn_dist_p90,nn_dist_max
1,49,0.5914366768028467,0.7032967032967034,0.7636363636363637,0.8333333333333334
2,48,0.6613340276563062,0.7104216867469879,0.7768627450980392,0.8620689655172413
3,48,0.6188446986013586,0.7067873303167421,0.7567028985507247,0.8067226890756303
4,48,0.5869975857528816,0.6809941520467837,0.7456043956043956,0.9259259259259259
5,48,0.6140628399713003,0.7118046654703922,0.7611443661971831,0.8048780487804879
