fold,n_test_groups,nn_dist_mean,nn_dist_median,nn_dist_p90,nn_dist_max
1,175,48.93264389038086,45.50175857543945,63.09706573486328,245.80789184570312
2,175,49.76093292236328,46.6483268737793,64.35615081787108,185.98190307617188
3,175,52.548439025878906,46.934852600097656,71.08112335205077,208.42843627929688
4,174,48.782249450683594,45.17467498779297,65.99837112426758,149.00537109375
5,174,48.50465774536133,46.03490447998047,65.92235031127932,111.14360809326172
