Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00200,EW-12,949162,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00201,EW-7,949160,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00202,EW-3,949161,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00203,EW-11,684062,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00206,D-566MG,946377,GBM,nervous_system,glioma
SIDM00207,D-542MG,753549,GBM,nervous_system,glioma
SIDM00208,D-502MG,946373,LGG,nervous_system,glioma
SIDM00210,A2780,906804,UNCLASSIFIED,urogenital_system,ovary
SIDM00211,ALL-PO,910944,ALL,blood,lymphoblastic_leukemia
SIDM00212,CAS-1,910943,GBM,nervous_system,glioma
SIDM00213,FTC-133,906864,THCA,thyroid,thyroid
SIDM00214,SNU-407,1660034,COREAD,digestive_system,large_intestine
SIDM00216,SNU-175,1659928,COREAD,digestive_system,large_intestine
SIDM00217,SNU-1040,1659823,COREAD,digestive_system,large_intestine
SIDM00218,RO82-W-1,930083,THCA,thyroid,thyroid
SIDM00220,OC-314,909257,OV,urogenital_system,ovary
SIDM00222,MPP-89,908150,MESO,lung,mesothelioma
SIDM00223,IST-SL1,753564,SCLC,lung,lung_small_cell_carcinoma
SIDM00224,IST-MES1,907173,MESO,lung,mesothelioma
SIDM00225,IST-MEL1,907172,SKCM,skin,melanoma
SIDM00227,GI-ME-N,906872,NB,nervous_system,neuroblastoma
SIDM00230,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma
SIDM00231,NCC010,1509073,KIRC,kidney,kidney
SIDM00232,NCC021,1509074,KIRC,kidney,kidney
SIDM00233,ATN-1,910687,ALL,blood,lymphoblastic_T_cell_leukaemia
SIDM00234,TC-YIK,946357,UNCLASSIFIED,urogenital_system,cervix
SIDM00235,RCC10RGB,909974,KIRC,kidney,kidney
SIDM00237,PC-14,753608,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00238,OVK-18,1480371,OV,urogenital_system,ovary
SIDM00239,OS-RC-2,909250,KIRC,kidney,kidney
SIDM00241,OCUB-M,909256,BRCA,breast,breast
SIDM00242,NOS-1,925345,UNCLASSIFIED,bone,osteosarcoma
SIDM00243,NEC8,910942,UNCLASSIFIED,urogenital_system,testis
SIDM00244,NB69,908440,NB,nervous_system,neuroblastoma
SIDM00245,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma
SIDM00247,MKN45,925340,STAD,digestive_system,stomach
SIDM00249,TE-15,753614,ESCA,aero_digestive_tract,oesophagus
SIDM00250,TE-4,1503371,ESCA,aero_digestive_tract,oesophagus
SIDM00251,TGBC11TKB,909770,STAD,digestive_system,stomach
SIDM00252,TGBC1TKB,909769,UNCLASSIFIED,digestive_system,biliary_tract
SIDM00253,NB6,949173,NB,nervous_system,neuroblastoma
SIDM00254,NB5,949176,NB,nervous_system,neuroblastoma
SIDM00255,NB17,949175,NB,nervous_system,neuroblastoma
SIDM00256,NB14,949178,NB,nervous_system,neuroblastoma
SIDM00257,NB13,949177,NB,nervous_system,neuroblastoma
SIDM00258,NB12,949172,NB,nervous_system,neuroblastoma
