Model	Published Year	Journal	Impact Factor (5y)	Citation	RMSE	R2	PCC	SCC	AUC	Title	Author	Mechanism	Data	Link
Review Paper	2011	Nature Reviews Drug Discovery	114.9	206						Advances in the preclinical testing of cancer therapeutic hypotheses	Caponigro, Giordano, and William R. Sellers.	.		https://www.nature.com/articles/nrd3385
	2014	Nature Biotechnology	56.9	823						A community effort to assess and improve drug sensitivity prediction algorithms	Costello, James C., et al.	.		https://www.nature.com/articles/nbt.2877
	2020	npj Precision Oncology	7.7	354						Machine learning approaches to drug response prediction: challenges and recent progress	Adam, George, et al.	.		https://www.nature.com/articles/s41698-020-0122-1#Sec11
	2021	Briefings in Bioinformatics	7.9	216						Deep learning for drug response prediction in cancer	Baptista, Delora, Pedro G. Ferreira, and Miguel Rocha.	.		https://academic.oup.com/bib/article/22/1/360/5707551
	2023	Frontiers in Medicine	3.4	90						Deep learning methods for drug response prediction in cancer: Predominant and emerging trends	Partin, Alexander, et al.	.		https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2023.1086097/full
	2024	Briefings in Bioinformatics	7.9	68						Attention is all you need: utilizing attention in AI-enabled drug discovery	Zhang, Yang, et al.	.		https://academic.oup.com/bib/article/25/1/bbad467/7512647
Model	Published Year	Journal	Impact Factor (5y)	Citation	RMSE	R2	PCC	SCC	AUC	Title	Author	Mechanism	Data	Link
Menden et al.	2013	PLoS One	3.3	601	0.83	0.72	0.85	.	.	Machine Learning Prediction of Cancer Cell Sensitivity to Drugs Based on Genomic and Chemical Properties	Menden et al.	PaDEL descriptor	GDSC	https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061318
CDRScan	2018	Scientific reports	4.3	338	0.98	0.843	.	.	.	Cancer Drug Response Profile scan (CDRscan): A Deep Learning Model That Predicts Drug Effectiveness from Cancer Genomic Signature	Chang, Yoosup, et al.	Ensemble of 5 CNNs	GDSC, CCLP	https://www.nature.com/articles/s41598-018-27214-6
DeepDR	2019	BMC Medical Genomics	2.5	259						Predicting drug response of tumors from integrated genomic profiles by deep neural networks	Chiu, Yu-Chiao, et al.	"pretraining
autoencoder
mutation + expression"	CCLE, TCGA	https://bmcmedgenomics.biomedcentral.com/articles/10.1186/s12920-018-0460-9
MOLI	2019	Bioinformatics	7.6	347						MOLI: multi-omics late integration with deep neural networks for drug response prediction	Sharifi-Noghabi, Hossein, et al.	"mutation+CNV+expression
AUC"		https://academic.oup.com/bioinformatics/article/35/14/i501/5529255
