,Gene_ID,Features,No.Features
243,CYP3A7,"['CYP3A7_SNP', 'CYP3A7_MET', 'CYP3A7_CNV', 'CYP3A7_RNA']",4
244,CYP4F2,"['CYP4F2_SNP', 'CYP4F2_MET', 'CYP4F2_CNV', 'CYP4F2_RNA']",4
245,CYP4F3,"['CYP4F3_SNP', 'CYP4F3_MET', 'CYP4F3_CNV', 'CYP4F3_RNA']",4
246,CYP7A1,"['CYP7A1_SNP', 'CYP7A1_MET', 'CYP7A1_CNV', 'CYP7A1_RNA']",4
247,CYSLTR1,"['CYSLTR1_SNP', 'CYSLTR1_MET', 'CYSLTR1_CNV', 'CYSLTR1_RNA']",4
248,DBH,"['DBH_SNP', 'DBH_MET', 'DBH_CNV', 'DBH_RNA']",4
249,DBI,"['DBI_SNP', 'DBI_MET', 'DBI_CNV', 'DBI_RNA']",4
250,DCK,"['DCK_SNP', 'DCK_MET', 'DCK_CNV', 'DCK_RNA']",4
251,DCTD,"['DCTD_SNP', 'DCTD_MET', 'DCTD_CNV', 'DCTD_RNA']",4
252,DDC,"['DDC_SNP', 'DDC_MET', 'DDC_CNV', 'DDC_RNA']",4
253,DDIT3,"['DDIT3_SNP', 'DDIT3_MET', 'DDIT3_CNV', 'DDIT3_RNA']",4
254,DGAT1,"['DGAT1_SNP', 'DGAT1_MET', 'DGAT1_CNV', 'DGAT1_RNA']",4
255,DHFR,"['DHFR_SNP', 'DHFR_MET', 'DHFR_CNV', 'DHFR_RNA']",4
256,DPEP1,"['DPEP1_SNP', 'DPEP1_MET', 'DPEP1_CNV', 'DPEP1_RNA']",4
257,DPEP2,"['DPEP2_SNP', 'DPEP2_MET', 'DPEP2_CNV', 'DPEP2_RNA']",4
258,DPEP3,"['DPEP3_SNP', 'DPEP3_MET', 'DPEP3_CNV', 'DPEP3_RNA']",4
259,DPP4,"['DPP4_SNP', 'DPP4_MET', 'DPP4_CNV', 'DPP4_RNA']",4
260,DPYD,"['DPYD_SNP', 'DPYD_MET', 'DPYD_CNV', 'DPYD_RNA']",4
261,DPYS,"['DPYS_SNP', 'DPYS_MET', 'DPYS_CNV', 'DPYS_RNA']",4
262,DRD1,"['DRD1_SNP', 'DRD1_MET', 'DRD1_CNV', 'DRD1_RNA']",4
263,DRD2,"['DRD2_SNP', 'DRD2_MET', 'DRD2_CNV', 'DRD2_RNA']",4
264,DRD3,"['DRD3_SNP', 'DRD3_MET', 'DRD3_CNV', 'DRD3_RNA']",4
265,DRD4,"['DRD4_SNP', 'DRD4_MET', 'DRD4_CNV', 'DRD4_RNA']",4
266,DRD5,"['DRD5_SNP', 'DRD5_MET', 'DRD5_CNV', 'DRD5_RNA']",4
267,DTYMK,"['DTYMK_SNP', 'DTYMK_MET', 'DTYMK_CNV', 'DTYMK_RNA']",4
268,ECH1,"['ECH1_SNP', 'ECH1_MET', 'ECH1_CNV', 'ECH1_RNA']",4
269,EGF,"['EGF_SNP', 'EGF_MET', 'EGF_CNV', 'EGF_RNA']",4
270,EGFR,"['EGFR_SNP', 'EGFR_MET', 'EGFR_CNV', 'EGFR_RNA']",4
271,EIF2AK2,"['EIF2AK2_SNP', 'EIF2AK2_MET', 'EIF2AK2_CNV', 'EIF2AK2_RNA']",4
272,ELF2,"['ELF2_SNP', 'ELF2_MET', 'ELF2_CNV', 'ELF2_RNA']",4
273,ELK1,"['ELK1_SNP', 'ELK1_MET', 'ELK1_CNV', 'ELK1_RNA']",4
274,EPHX1,"['EPHX1_SNP', 'EPHX1_MET', 'EPHX1_CNV', 'EPHX1_RNA']",4
275,ERBB2,"['ERBB2_SNP', 'ERBB2_MET', 'ERBB2_CNV', 'ERBB2_RNA']",4
276,ERBB3,"['ERBB3_SNP', 'ERBB3_MET', 'ERBB3_CNV', 'ERBB3_RNA']",4
277,ERBB4,"['ERBB4_SNP', 'ERBB4_MET', 'ERBB4_CNV', 'ERBB4_RNA']",4
278,ERCC1,"['ERCC1_SNP', 'ERCC1_MET', 'ERCC1_CNV', 'ERCC1_RNA']",4
279,ERCC2,"['ERCC2_SNP', 'ERCC2_MET', 'ERCC2_CNV', 'ERCC2_RNA']",4
280,ERCC4,"['ERCC4_SNP', 'ERCC4_MET', 'ERCC4_CNV', 'ERCC4_RNA']",4
281,EREG,"['EREG_SNP', 'EREG_MET', 'EREG_CNV', 'EREG_RNA']",4
282,ESR1,"['ESR1_SNP', 'ESR1_MET', 'ESR1_CNV', 'ESR1_RNA']",4
283,ESR2,"['ESR2_SNP', 'ESR2_MET', 'ESR2_CNV', 'ESR2_RNA']",4
284,ETS1,"['ETS1_SNP', 'ETS1_MET', 'ETS1_CNV', 'ETS1_RNA']",4
285,F10,"['F10_SNP', 'F10_MET', 'F10_CNV', 'F10_RNA']",4
286,F2,"['F2_SNP', 'F2_MET', 'F2_CNV', 'F2_RNA']",4
287,F2R,"['F2R_SNP', 'F2R_MET', 'F2R_CNV', 'F2R_RNA']",4
288,F2RL3,"['F2RL3_SNP', 'F2RL3_MET', 'F2RL3_CNV', 'F2RL3_RNA']",4
289,F3,"['F3_SNP', 'F3_MET', 'F3_CNV', 'F3_RNA']",4
290,F7,"['F7_SNP', 'F7_MET', 'F7_CNV', 'F7_RNA']",4
291,F9,"['F9_SNP', 'F9_MET', 'F9_CNV', 'F9_RNA']",4
292,FAAH,"['FAAH_SNP', 'FAAH_MET', 'FAAH_CNV', 'FAAH_RNA']",4
293,FCGR1A,"['FCGR1A_SNP', 'FCGR1A_MET', 'FCGR1A_CNV', 'FCGR1A_RNA']",4
294,FCGR2A,"['FCGR2A_SNP', 'FCGR2A_MET', 'FCGR2A_CNV', 'FCGR2A_RNA']",4
295,FCGR3A,"['FCGR3A_SNP', 'FCGR3A_MET', 'FCGR3A_CNV', 'FCGR3A_RNA']",4
296,FDFT1,"['FDFT1_SNP', 'FDFT1_MET', 'FDFT1_CNV', 'FDFT1_RNA']",4
297,FDPS,"['FDPS_SNP', 'FDPS_MET', 'FDPS_CNV', 'FDPS_RNA']",4
298,FGA,"['FGA_SNP', 'FGA_MET', 'FGA_CNV', 'FGA_RNA']",4
299,FGB,"['FGB_SNP', 'FGB_MET', 'FGB_CNV', 'FGB_RNA']",4
300,FGF1,"['FGF1_SNP', 'FGF1_MET', 'FGF1_CNV', 'FGF1_RNA']",4
301,FGF2,"['FGF2_SNP', 'FGF2_MET', 'FGF2_CNV', 'FGF2_RNA']",4
302,FGF3,"['FGF3_SNP', 'FGF3_MET', 'FGF3_CNV', 'FGF3_RNA']",4
303,FGF4,"['FGF4_SNP', 'FGF4_MET', 'FGF4_CNV', 'FGF4_RNA']",4
304,FGF5,"['FGF5_SNP', 'FGF5_MET', 'FGF5_CNV', 'FGF5_RNA']",4
305,FGF6,"['FGF6_SNP', 'FGF6_MET', 'FGF6_CNV', 'FGF6_RNA']",4
306,FGF7,"['FGF7_SNP', 'FGF7_MET', 'FGF7_CNV', 'FGF7_RNA']",4
307,FGFR1,"['FGFR1_SNP', 'FGFR1_MET', 'FGFR1_CNV', 'FGFR1_RNA']",4
308,FGFR1OP2,"['FGFR1OP2_SNP', 'FGFR1OP2_MET', 'FGFR1OP2_CNV', 'FGFR1OP2_RNA']",4
309,FGFR2,"['FGFR2_SNP', 'FGFR2_MET', 'FGFR2_CNV', 'FGFR2_RNA']",4
310,FGFR3,"['FGFR3_SNP', 'FGFR3_MET', 'FGFR3_CNV', 'FGFR3_RNA']",4
311,FGFR4,"['FGFR4_SNP', 'FGFR4_MET', 'FGFR4_CNV', 'FGFR4_RNA']",4
312,FGFRL1,"['FGFRL1_SNP', 'FGFRL1_MET', 'FGFRL1_CNV', 'FGFRL1_RNA']",4
313,FGG,"['FGG_SNP', 'FGG_MET', 'FGG_CNV', 'FGG_RNA']",4
314,FKBP1A,"['FKBP1A_SNP', 'FKBP1A_MET', 'FKBP1A_CNV', 'FKBP1A_RNA']",4
315,FLT1,"['FLT1_SNP', 'FLT1_MET', 'FLT1_CNV', 'FLT1_RNA']",4
316,FLT3,"['FLT3_SNP', 'FLT3_MET', 'FLT3_CNV', 'FLT3_RNA']",4
317,FLT4,"['FLT4_SNP', 'FLT4_MET', 'FLT4_CNV', 'FLT4_RNA']",4
318,FMO1,"['FMO1_SNP', 'FMO1_MET', 'FMO1_CNV', 'FMO1_RNA']",4
319,FMO2,"['FMO2_SNP', 'FMO2_MET', 'FMO2_CNV', 'FMO2_RNA']",4
320,FMO3,"['FMO3_SNP', 'FMO3_MET', 'FMO3_CNV', 'FMO3_RNA']",4
321,FMO4,"['FMO4_SNP', 'FMO4_MET', 'FMO4_CNV', 'FMO4_RNA']",4
322,FMO5,"['FMO5_SNP', 'FMO5_MET', 'FMO5_CNV', 'FMO5_RNA']",4
323,FOLR1,"['FOLR1_SNP', 'FOLR1_MET', 'FOLR1_CNV', 'FOLR1_RNA']",4
324,FOS,"['FOS_SNP', 'FOS_MET', 'FOS_CNV', 'FOS_RNA']",4
325,FOSB,"['FOSB_SNP', 'FOSB_MET', 'FOSB_CNV', 'FOSB_RNA']",4
326,FOSL1,"['FOSL1_SNP', 'FOSL1_MET', 'FOSL1_CNV', 'FOSL1_RNA']",4
327,FOSL2,"['FOSL2_SNP', 'FOSL2_MET', 'FOSL2_CNV', 'FOSL2_RNA']",4
328,FPGS,"['FPGS_SNP', 'FPGS_MET', 'FPGS_CNV', 'FPGS_RNA']",4
329,FXYD2,"['FXYD2_SNP', 'FXYD2_MET', 'FXYD2_CNV', 'FXYD2_RNA']",4
330,G6PD,"['G6PD_SNP', 'G6PD_MET', 'G6PD_CNV', 'G6PD_RNA']",4
331,GABRA1,"['GABRA1_SNP', 'GABRA1_MET', 'GABRA1_CNV', 'GABRA1_RNA']",4
332,GABRB2,"['GABRB2_SNP', 'GABRB2_MET', 'GABRB2_CNV', 'GABRB2_RNA']",4
333,GABRG2,"['GABRG2_SNP', 'GABRG2_MET', 'GABRG2_CNV', 'GABRG2_RNA']",4
334,GADD45A,"['GADD45A_SNP', 'GADD45A_MET', 'GADD45A_CNV', 'GADD45A_RNA']",4
335,GART,"['GART_SNP', 'GART_MET', 'GART_CNV', 'GART_RNA']",4
336,GCG,"['GCG_SNP', 'GCG_MET', 'GCG_CNV', 'GCG_RNA']",4
337,GCK,"['GCK_SNP', 'GCK_MET', 'GCK_CNV', 'GCK_RNA']",4
338,GDA,"['GDA_SNP', 'GDA_MET', 'GDA_CNV', 'GDA_RNA']",4
339,GGCX,"['GGCX_SNP', 'GGCX_MET', 'GGCX_CNV', 'GGCX_RNA']",4
340,GGH,"['GGH_SNP', 'GGH_MET', 'GGH_CNV', 'GGH_RNA']",4
341,GGT1,"['GGT1_SNP', 'GGT1_MET', 'GGT1_CNV', 'GGT1_RNA']",4
342,GHRL,"['GHRL_SNP', 'GHRL_MET', 'GHRL_CNV', 'GHRL_RNA']",4
343,GHSR,"['GHSR_SNP', 'GHSR_MET', 'GHSR_CNV', 'GHSR_RNA']",4
344,GIP,"['GIP_SNP', 'GIP_MET', 'GIP_CNV', 'GIP_RNA']",4
345,GLP1R,"['GLP1R_SNP', 'GLP1R_MET', 'GLP1R_CNV', 'GLP1R_RNA']",4
346,GMPS,"['GMPS_SNP', 'GMPS_MET', 'GMPS_CNV', 'GMPS_RNA']",4
347,GNA11,"['GNA11_SNP', 'GNA11_MET', 'GNA11_CNV', 'GNA11_RNA']",4
348,GNA12,"['GNA12_SNP', 'GNA12_MET', 'GNA12_CNV', 'GNA12_RNA']",4
349,GNA13,"['GNA13_SNP', 'GNA13_MET', 'GNA13_CNV', 'GNA13_RNA']",4
350,GNA15,"['GNA15_SNP', 'GNA15_MET', 'GNA15_CNV', 'GNA15_RNA']",4
351,GNAI1,"['GNAI1_SNP', 'GNAI1_MET', 'GNAI1_CNV', 'GNAI1_RNA']",4
352,GNAI2,"['GNAI2_SNP', 'GNAI2_MET', 'GNAI2_CNV', 'GNAI2_RNA']",4
353,GNAI3,"['GNAI3_SNP', 'GNAI3_MET', 'GNAI3_CNV', 'GNAI3_RNA']",4
354,GNAQ,"['GNAQ_SNP', 'GNAQ_MET', 'GNAQ_CNV', 'GNAQ_RNA']",4
355,GNAS,"['GNAS_SNP', 'GNAS_MET', 'GNAS_CNV', 'GNAS_RNA']",4
356,GNB1,"['GNB1_SNP', 'GNB1_MET', 'GNB1_CNV', 'GNB1_RNA']",4
357,GNB1L,"['GNB1L_SNP', 'GNB1L_MET', 'GNB1L_CNV', 'GNB1L_RNA']",4
358,GNB2,"['GNB2_SNP', 'GNB2_MET', 'GNB2_CNV', 'GNB2_RNA']",4
359,GNB3,"['GNB3_SNP', 'GNB3_MET', 'GNB3_CNV', 'GNB3_RNA']",4
360,GNB4,"['GNB4_SNP', 'GNB4_MET', 'GNB4_CNV', 'GNB4_RNA']",4
361,GNG2,"['GNG2_SNP', 'GNG2_MET', 'GNG2_CNV', 'GNG2_RNA']",4
362,GNG3,"['GNG3_SNP', 'GNG3_MET', 'GNG3_CNV', 'GNG3_RNA']",4
363,GNG4,"['GNG4_SNP', 'GNG4_MET', 'GNG4_CNV', 'GNG4_RNA']",4
364,GNG5,"['GNG5_SNP', 'GNG5_MET', 'GNG5_CNV', 'GNG5_RNA']",4
365,GNG7,"['GNG7_SNP', 'GNG7_MET', 'GNG7_CNV', 'GNG7_RNA']",4
366,GOT1,"['GOT1_SNP', 'GOT1_MET', 'GOT1_CNV', 'GOT1_RNA']",4
367,GOT1L1,"['GOT1L1_SNP', 'GOT1L1_MET', 'GOT1L1_CNV', 'GOT1L1_RNA']",4
368,GOT2,"['GOT2_SNP', 'GOT2_MET', 'GOT2_CNV', 'GOT2_RNA']",4
369,GP1BB,"['GP1BB_SNP', 'GP1BB_MET', 'GP1BB_CNV', 'GP1BB_RNA']",4
370,GP5,"['GP5_SNP', 'GP5_MET', 'GP5_CNV', 'GP5_RNA']",4
371,GP6,"['GP6_SNP', 'GP6_MET', 'GP6_CNV', 'GP6_RNA']",4
372,GP9,"['GP9_SNP', 'GP9_MET', 'GP9_CNV', 'GP9_RNA']",4
373,GPAM,"['GPAM_SNP', 'GPAM_MET', 'GPAM_CNV', 'GPAM_RNA']",4
374,GPI,"['GPI_SNP', 'GPI_MET', 'GPI_CNV', 'GPI_RNA']",4
375,GPR182,"['GPR182_SNP', 'GPR182_MET', 'GPR182_CNV', 'GPR182_RNA']",4
376,GPR65,"['GPR65_SNP', 'GPR65_MET', 'GPR65_CNV', 'GPR65_RNA']",4
377,GPX1,"['GPX1_SNP', 'GPX1_MET', 'GPX1_CNV', 'GPX1_RNA']",4
378,GRB2,"['GRB2_SNP', 'GRB2_MET', 'GRB2_CNV', 'GRB2_RNA']",4
379,GSR,"['GSR_SNP', 'GSR_MET', 'GSR_CNV', 'GSR_RNA']",4
380,GSTA1,"['GSTA1_SNP', 'GSTA1_MET', 'GSTA1_CNV', 'GSTA1_RNA']",4
381,GSTA2,"['GSTA2_SNP', 'GSTA2_MET', 'GSTA2_CNV', 'GSTA2_RNA']",4
382,GSTM1,"['GSTM1_SNP', 'GSTM1_MET', 'GSTM1_CNV', 'GSTM1_RNA']",4
383,GSTP1,"['GSTP1_SNP', 'GSTP1_MET', 'GSTP1_CNV', 'GSTP1_RNA']",4
384,GUK1,"['GUK1_SNP', 'GUK1_MET', 'GUK1_CNV', 'GUK1_RNA']",4
385,HBEGF,"['HBEGF_SNP', 'HBEGF_MET', 'HBEGF_CNV', 'HBEGF_RNA']",4
386,HDAC1,"['HDAC1_SNP', 'HDAC1_MET', 'HDAC1_CNV', 'HDAC1_RNA']",4
387,HDAC11,"['HDAC11_SNP', 'HDAC11_MET', 'HDAC11_CNV', 'HDAC11_RNA']",4
388,HDAC9,"['HDAC9_SNP', 'HDAC9_MET', 'HDAC9_CNV', 'HDAC9_RNA']",4
389,HINT1,"['HINT1_SNP', 'HINT1_MET', 'HINT1_CNV', 'HINT1_RNA']",4
390,HK1,"['HK1_SNP', 'HK1_MET', 'HK1_CNV', 'HK1_RNA']",4
391,HMGCR,"['HMGCR_SNP', 'HMGCR_MET', 'HMGCR_CNV', 'HMGCR_RNA']",4
392,HMGCS1,"['HMGCS1_SNP', 'HMGCS1_MET', 'HMGCS1_CNV', 'HMGCS1_RNA']",4
393,HNF1A,"['HNF1A_SNP', 'HNF1A_MET', 'HNF1A_CNV', 'HNF1A_RNA']",4
394,HNF1B,"['HNF1B_SNP', 'HNF1B_MET', 'HNF1B_CNV', 'HNF1B_RNA']",4
395,HNF4A,"['HNF4A_SNP', 'HNF4A_MET', 'HNF4A_CNV', 'HNF4A_RNA']",4
396,HPGDS,"['HPGDS_SNP', 'HPGDS_MET', 'HPGDS_CNV', 'HPGDS_RNA']",4
397,HPRT1,"['HPRT1_SNP', 'HPRT1_MET', 'HPRT1_CNV', 'HPRT1_RNA']",4
398,HRAS,"['HRAS_SNP', 'HRAS_MET', 'HRAS_CNV', 'HRAS_RNA']",4
399,HRH2,"['HRH2_SNP', 'HRH2_MET', 'HRH2_CNV', 'HRH2_RNA']",4
400,HSD11B1,"['HSD11B1_SNP', 'HSD11B1_MET', 'HSD11B1_CNV', 'HSD11B1_RNA']",4
401,HSD11B2,"['HSD11B2_SNP', 'HSD11B2_MET', 'HSD11B2_CNV', 'HSD11B2_RNA']",4
402,HSD17B1,"['HSD17B1_SNP', 'HSD17B1_MET', 'HSD17B1_CNV', 'HSD17B1_RNA']",4
403,HSD17B10,"['HSD17B10_SNP', 'HSD17B10_MET', 'HSD17B10_CNV', 'HSD17B10_RNA']",4
404,HSD3B1,"['HSD3B1_SNP', 'HSD3B1_MET', 'HSD3B1_CNV', 'HSD3B1_RNA']",4
405,HSD3B2,"['HSD3B2_SNP', 'HSD3B2_MET', 'HSD3B2_CNV', 'HSD3B2_RNA']",4
406,HTR1A,"['HTR1A_SNP', 'HTR1A_MET', 'HTR1A_CNV', 'HTR1A_RNA']",4
407,HTR1B,"['HTR1B_SNP', 'HTR1B_MET', 'HTR1B_CNV', 'HTR1B_RNA']",4
408,HTR1D,"['HTR1D_SNP', 'HTR1D_MET', 'HTR1D_CNV', 'HTR1D_RNA']",4
409,HTR1E,"['HTR1E_SNP', 'HTR1E_MET', 'HTR1E_CNV', 'HTR1E_RNA']",4
410,HTR1F,"['HTR1F_SNP', 'HTR1F_MET', 'HTR1F_CNV', 'HTR1F_RNA']",4
411,HTR2A,"['HTR2A_SNP', 'HTR2A_MET', 'HTR2A_CNV', 'HTR2A_RNA']",4
412,HTR2C,"['HTR2C_SNP', 'HTR2C_MET', 'HTR2C_CNV', 'HTR2C_RNA']",4
413,HTR3A,"['HTR3A_SNP', 'HTR3A_MET', 'HTR3A_CNV', 'HTR3A_RNA']",4
414,HTR4,"['HTR4_SNP', 'HTR4_MET', 'HTR4_CNV', 'HTR4_RNA']",4
415,HTR6,"['HTR6_SNP', 'HTR6_MET', 'HTR6_CNV', 'HTR6_RNA']",4
416,HTR7,"['HTR7_SNP', 'HTR7_MET', 'HTR7_CNV', 'HTR7_RNA']",4
417,IFNAR1,"['IFNAR1_SNP', 'IFNAR1_MET', 'IFNAR1_CNV', 'IFNAR1_RNA']",4
418,IFNAR2,"['IFNAR2_SNP', 'IFNAR2_MET', 'IFNAR2_CNV', 'IFNAR2_RNA']",4
419,IGFBP3,"['IGFBP3_SNP', 'IGFBP3_MET', 'IGFBP3_CNV', 'IGFBP3_RNA']",4
420,IL10,"['IL10_SNP', 'IL10_MET', 'IL10_CNV', 'IL10_RNA']",4
421,IL10RB,"['IL10RB_SNP', 'IL10RB_MET', 'IL10RB_CNV', 'IL10RB_RNA']",4
422,IL2,"['IL2_SNP', 'IL2_MET', 'IL2_CNV', 'IL2_RNA']",4
423,IL6,"['IL6_SNP', 'IL6_MET', 'IL6_CNV', 'IL6_RNA']",4
424,IMPDH1,"['IMPDH1_SNP', 'IMPDH1_MET', 'IMPDH1_CNV', 'IMPDH1_RNA']",4
425,IMPDH2,"['IMPDH2_SNP', 'IMPDH2_MET', 'IMPDH2_CNV', 'IMPDH2_RNA']",4
426,INS,"['INS_SNP', 'INS_MET', 'INS_CNV', 'INS_RNA']",4
427,INSIG2,"['INSIG2_SNP', 'INSIG2_MET', 'INSIG2_CNV', 'INSIG2_RNA']",4
428,INSR,"['INSR_SNP', 'INSR_MET', 'INSR_CNV', 'INSR_RNA']",4
429,IRF3,"['IRF3_SNP', 'IRF3_MET', 'IRF3_CNV', 'IRF3_RNA']",4
430,IRF7,"['IRF7_SNP', 'IRF7_MET', 'IRF7_CNV', 'IRF7_RNA']",4
431,IRF9,"['IRF9_SNP', 'IRF9_MET', 'IRF9_CNV', 'IRF9_RNA']",4
432,IRS1,"['IRS1_SNP', 'IRS1_MET', 'IRS1_CNV', 'IRS1_RNA']",4
433,IRS2,"['IRS2_SNP', 'IRS2_MET', 'IRS2_CNV', 'IRS2_RNA']",4
434,ISL1,"['ISL1_SNP', 'ISL1_MET', 'ISL1_CNV', 'ISL1_RNA']",4
435,ITGA2,"['ITGA2_SNP', 'ITGA2_MET', 'ITGA2_CNV', 'ITGA2_RNA']",4
436,ITGA2B,"['ITGA2B_SNP', 'ITGA2B_MET', 'ITGA2B_CNV', 'ITGA2B_RNA']",4
437,ITGAV,"['ITGAV_SNP', 'ITGAV_MET', 'ITGAV_CNV', 'ITGAV_RNA']",4
438,ITGB3,"['ITGB3_SNP', 'ITGB3_MET', 'ITGB3_CNV', 'ITGB3_RNA']",4
439,ITGB5,"['ITGB5_SNP', 'ITGB5_MET', 'ITGB5_CNV', 'ITGB5_RNA']",4
440,ITPA,"['ITPA_SNP', 'ITPA_MET', 'ITPA_CNV', 'ITPA_RNA']",4
441,ITPR1,"['ITPR1_SNP', 'ITPR1_MET', 'ITPR1_CNV', 'ITPR1_RNA']",4
442,IVD,"['IVD_SNP', 'IVD_MET', 'IVD_CNV', 'IVD_RNA']",4
443,JAK1,"['JAK1_SNP', 'JAK1_MET', 'JAK1_CNV', 'JAK1_RNA']",4
444,JAK3,"['JAK3_SNP', 'JAK3_MET', 'JAK3_CNV', 'JAK3_RNA']",4
445,JDP2,"['JDP2_SNP', 'JDP2_MET', 'JDP2_CNV', 'JDP2_RNA']",4
446,JUN,"['JUN_SNP', 'JUN_MET', 'JUN_CNV', 'JUN_RNA']",4
447,JUNB,"['JUNB_SNP', 'JUNB_MET', 'JUNB_CNV', 'JUNB_RNA']",4
448,JUND,"['JUND_SNP', 'JUND_MET', 'JUND_CNV', 'JUND_RNA']",4
449,KCNH2,"['KCNH2_SNP', 'KCNH2_MET', 'KCNH2_CNV', 'KCNH2_RNA']",4
450,KCNJ1,"['KCNJ1_SNP', 'KCNJ1_MET', 'KCNJ1_CNV', 'KCNJ1_RNA']",4
451,KCNJ11,"['KCNJ11_SNP', 'KCNJ11_MET', 'KCNJ11_CNV', 'KCNJ11_RNA']",4
452,KCNK3,"['KCNK3_SNP', 'KCNK3_MET', 'KCNK3_CNV', 'KCNK3_RNA']",4
453,KCNK9,"['KCNK9_SNP', 'KCNK9_MET', 'KCNK9_CNV', 'KCNK9_RNA']",4
454,KCNQ1,"['KCNQ1_SNP', 'KCNQ1_MET', 'KCNQ1_CNV', 'KCNQ1_RNA']",4
455,KCNQ2,"['KCNQ2_SNP', 'KCNQ2_MET', 'KCNQ2_CNV', 'KCNQ2_RNA']",4
456,KCNQ3,"['KCNQ3_SNP', 'KCNQ3_MET', 'KCNQ3_CNV', 'KCNQ3_RNA']",4
457,KCNQ4,"['KCNQ4_SNP', 'KCNQ4_MET', 'KCNQ4_CNV', 'KCNQ4_RNA']",4
458,KCNQ5,"['KCNQ5_SNP', 'KCNQ5_MET', 'KCNQ5_CNV', 'KCNQ5_RNA']",4
459,KDR,"['KDR_SNP', 'KDR_MET', 'KDR_CNV', 'KDR_RNA']",4
460,KHK,"['KHK_SNP', 'KHK_MET', 'KHK_CNV', 'KHK_RNA']",4
461,KIT,"['KIT_SNP', 'KIT_MET', 'KIT_CNV', 'KIT_RNA']",4
462,KNG1,"['KNG1_SNP', 'KNG1_MET', 'KNG1_CNV', 'KNG1_RNA']",4
463,KRAS,"['KRAS_SNP', 'KRAS_MET', 'KRAS_CNV', 'KRAS_RNA']",4
464,LCAT,"['LCAT_SNP', 'LCAT_MET', 'LCAT_CNV', 'LCAT_RNA']",4
465,LDLR,"['LDLR_SNP', 'LDLR_MET', 'LDLR_CNV', 'LDLR_RNA']",4
466,LEP,"['LEP_SNP', 'LEP_MET', 'LEP_CNV', 'LEP_RNA']",4
467,LEPR,"['LEPR_SNP', 'LEPR_MET', 'LEPR_CNV', 'LEPR_RNA']",4
468,LGALS9,"['LGALS9_SNP', 'LGALS9_MET', 'LGALS9_CNV', 'LGALS9_RNA']",4
469,LIPC,"['LIPC_SNP', 'LIPC_MET', 'LIPC_CNV', 'LIPC_RNA']",4
470,LPL,"['LPL_SNP', 'LPL_MET', 'LPL_CNV', 'LPL_RNA']",4
471,LRP1,"['LRP1_SNP', 'LRP1_MET', 'LRP1_CNV', 'LRP1_RNA']",4
472,LTA4H,"['LTA4H_SNP', 'LTA4H_MET', 'LTA4H_CNV', 'LTA4H_RNA']",4
473,LTB4R,"['LTB4R_SNP', 'LTB4R_MET', 'LTB4R_CNV', 'LTB4R_RNA']",4
474,LTC4S,"['LTC4S_SNP', 'LTC4S_MET', 'LTC4S_CNV', 'LTC4S_RNA']",4
475,MAF,"['MAF_SNP', 'MAF_MET', 'MAF_CNV', 'MAF_RNA']",4
476,MAFA,"['MAFA_SNP', 'MAFA_MET', 'MAFA_CNV', 'MAFA_RNA']",4
477,MAFB,"['MAFB_SNP', 'MAFB_MET', 'MAFB_CNV', 'MAFB_RNA']",4
478,MAFF,"['MAFF_SNP', 'MAFF_MET', 'MAFF_CNV', 'MAFF_RNA']",4
479,MAFG,"['MAFG_SNP', 'MAFG_MET', 'MAFG_CNV', 'MAFG_RNA']",4
480,MAFK,"['MAFK_SNP', 'MAFK_MET', 'MAFK_CNV', 'MAFK_RNA']",4
481,MAOA,"['MAOA_SNP', 'MAOA_MET', 'MAOA_CNV', 'MAOA_RNA']",4
482,MAOB,"['MAOB_SNP', 'MAOB_MET', 'MAOB_CNV', 'MAOB_RNA']",4
483,MAP2K1,"['MAP2K1_SNP', 'MAP2K1_MET', 'MAP2K1_CNV', 'MAP2K1_RNA']",4
484,MAP2K2,"['MAP2K2_SNP', 'MAP2K2_MET', 'MAP2K2_CNV', 'MAP2K2_RNA']",4
485,MAP2K3,"['MAP2K3_SNP', 'MAP2K3_MET', 'MAP2K3_CNV', 'MAP2K3_RNA']",4
486,MAP2K4,"['MAP2K4_SNP', 'MAP2K4_MET', 'MAP2K4_CNV', 'MAP2K4_RNA']",4
487,MAP2K5,"['MAP2K5_SNP', 'MAP2K5_MET', 'MAP2K5_CNV', 'MAP2K5_RNA']",4
488,MAP2K6,"['MAP2K6_SNP', 'MAP2K6_MET', 'MAP2K6_CNV', 'MAP2K6_RNA']",4
489,MAP2K7,"['MAP2K7_SNP', 'MAP2K7_MET', 'MAP2K7_CNV', 'MAP2K7_RNA']",4
490,MAP3K1,"['MAP3K1_SNP', 'MAP3K1_MET', 'MAP3K1_CNV', 'MAP3K1_RNA']",4
491,MAP3K11,"['MAP3K11_SNP', 'MAP3K11_MET', 'MAP3K11_CNV', 'MAP3K11_RNA']",4
492,MAP3K7,"['MAP3K7_SNP', 'MAP3K7_MET', 'MAP3K7_CNV', 'MAP3K7_RNA']",4
493,MAPK1,"['MAPK1_SNP', 'MAPK1_MET', 'MAPK1_CNV', 'MAPK1_RNA']",4
494,MAPK10,"['MAPK10_SNP', 'MAPK10_MET', 'MAPK10_CNV', 'MAPK10_RNA']",4
495,MAPK11,"['MAPK11_SNP', 'MAPK11_MET', 'MAPK11_CNV', 'MAPK11_RNA']",4
