,Gene_ID,Features,No.Features
56,AGTR2,"['AGTR2_SNP', 'AGTR2_MET', 'AGTR2_CNV', 'AGTR2_RNA']",4
57,AIFM2,"['AIFM2_SNP', 'AIFM2_MET', 'AIFM2_CNV', 'AIFM2_RNA']",4
58,AK2,"['AK2_SNP', 'AK2_MET', 'AK2_CNV', 'AK2_RNA']",4
59,AKAP1,"['AKAP1_SNP', 'AKAP1_MET', 'AKAP1_CNV', 'AKAP1_RNA']",4
60,AKR1A1,"['AKR1A1_SNP', 'AKR1A1_MET', 'AKR1A1_CNV', 'AKR1A1_RNA']",4
61,AKR1B1,"['AKR1B1_SNP', 'AKR1B1_MET', 'AKR1B1_CNV', 'AKR1B1_RNA']",4
62,AKR1B10,"['AKR1B10_SNP', 'AKR1B10_MET', 'AKR1B10_CNV', 'AKR1B10_RNA']",4
63,AKR1C1,"['AKR1C1_SNP', 'AKR1C1_MET', 'AKR1C1_CNV', 'AKR1C1_RNA']",4
64,AKR1C2,"['AKR1C2_SNP', 'AKR1C2_MET', 'AKR1C2_CNV', 'AKR1C2_RNA']",4
65,AKR1C3,"['AKR1C3_SNP', 'AKR1C3_MET', 'AKR1C3_CNV', 'AKR1C3_RNA']",4
66,AKR1C4,"['AKR1C4_SNP', 'AKR1C4_MET', 'AKR1C4_CNV', 'AKR1C4_RNA']",4
67,AKR7A2,"['AKR7A2_SNP', 'AKR7A2_MET', 'AKR7A2_CNV', 'AKR7A2_RNA']",4
68,AKR7A3,"['AKR7A3_SNP', 'AKR7A3_MET', 'AKR7A3_CNV', 'AKR7A3_RNA']",4
69,AKT1,"['AKT1_SNP', 'AKT1_MET', 'AKT1_CNV', 'AKT1_RNA']",4
70,AKT2,"['AKT2_SNP', 'AKT2_MET', 'AKT2_CNV', 'AKT2_RNA']",4
71,AKT3,"['AKT3_SNP', 'AKT3_MET', 'AKT3_CNV', 'AKT3_RNA']",4
72,ALB,"['ALB_SNP', 'ALB_MET', 'ALB_CNV', 'ALB_RNA']",4
73,ALDH1A1,"['ALDH1A1_SNP', 'ALDH1A1_MET', 'ALDH1A1_CNV', 'ALDH1A1_RNA']",4
74,ALDH2,"['ALDH2_SNP', 'ALDH2_MET', 'ALDH2_CNV', 'ALDH2_RNA']",4
75,ALDH3A1,"['ALDH3A1_SNP', 'ALDH3A1_MET', 'ALDH3A1_CNV', 'ALDH3A1_RNA']",4
76,ALDH5A1,"['ALDH5A1_SNP', 'ALDH5A1_MET', 'ALDH5A1_CNV', 'ALDH5A1_RNA']",4
77,ALK,"['ALK_SNP', 'ALK_MET', 'ALK_CNV', 'ALK_RNA']",4
78,ALOX5,"['ALOX5_SNP', 'ALOX5_MET', 'ALOX5_CNV', 'ALOX5_RNA']",4
79,ALOX5AP,"['ALOX5AP_SNP', 'ALOX5AP_MET', 'ALOX5AP_CNV', 'ALOX5AP_RNA']",4
80,ALPL,"['ALPL_SNP', 'ALPL_MET', 'ALPL_CNV', 'ALPL_RNA']",4
81,AMACR,"['AMACR_SNP', 'AMACR_MET', 'AMACR_CNV', 'AMACR_RNA']",4
82,ANGPTL3,"['ANGPTL3_SNP', 'ANGPTL3_MET', 'ANGPTL3_CNV', 'ANGPTL3_RNA']",4
83,ANKK1,"['ANKK1_SNP', 'ANKK1_MET', 'ANKK1_CNV', 'ANKK1_RNA']",4
84,AOX1,"['AOX1_SNP', 'AOX1_MET', 'AOX1_CNV', 'AOX1_RNA']",4
85,APOA1,"['APOA1_SNP', 'APOA1_MET', 'APOA1_CNV', 'APOA1_RNA']",4
86,APOA4,"['APOA4_SNP', 'APOA4_MET', 'APOA4_CNV', 'APOA4_RNA']",4
87,APOA5,"['APOA5_SNP', 'APOA5_MET', 'APOA5_CNV', 'APOA5_RNA']",4
88,APOB,"['APOB_SNP', 'APOB_MET', 'APOB_CNV', 'APOB_RNA']",4
89,APOC1,"['APOC1_SNP', 'APOC1_MET', 'APOC1_CNV', 'APOC1_RNA']",4
90,APOC2,"['APOC2_SNP', 'APOC2_MET', 'APOC2_CNV', 'APOC2_RNA']",4
91,APOC3,"['APOC3_SNP', 'APOC3_MET', 'APOC3_CNV', 'APOC3_RNA']",4
92,APOE,"['APOE_SNP', 'APOE_MET', 'APOE_CNV', 'APOE_RNA']",4
93,ARAF,"['ARAF_SNP', 'ARAF_MET', 'ARAF_CNV', 'ARAF_RNA']",4
94,AREG,"['AREG_SNP', 'AREG_MET', 'AREG_CNV', 'AREG_RNA']",4
95,ARNT,"['ARNT_SNP', 'ARNT_MET', 'ARNT_CNV', 'ARNT_RNA']",4
96,ARRB1,"['ARRB1_SNP', 'ARRB1_MET', 'ARRB1_CNV', 'ARRB1_RNA']",4
97,ARRB2,"['ARRB2_SNP', 'ARRB2_MET', 'ARRB2_CNV', 'ARRB2_RNA']",4
98,ATF2,"['ATF2_SNP', 'ATF2_MET', 'ATF2_CNV', 'ATF2_RNA']",4
99,ATF3,"['ATF3_SNP', 'ATF3_MET', 'ATF3_CNV', 'ATF3_RNA']",4
100,ATIC,"['ATIC_SNP', 'ATIC_MET', 'ATIC_CNV', 'ATIC_RNA']",4
101,ATM,"['ATM_SNP', 'ATM_MET', 'ATM_CNV', 'ATM_RNA']",4
102,ATP1A1,"['ATP1A1_SNP', 'ATP1A1_MET', 'ATP1A1_CNV', 'ATP1A1_RNA']",4
103,ATP2A1,"['ATP2A1_SNP', 'ATP2A1_MET', 'ATP2A1_CNV', 'ATP2A1_RNA']",4
104,ATP2A2,"['ATP2A2_SNP', 'ATP2A2_MET', 'ATP2A2_CNV', 'ATP2A2_RNA']",4
105,ATP2A3,"['ATP2A3_SNP', 'ATP2A3_MET', 'ATP2A3_CNV', 'ATP2A3_RNA']",4
106,ATP4A,"['ATP4A_SNP', 'ATP4A_MET', 'ATP4A_CNV', 'ATP4A_RNA']",4
107,ATP4B,"['ATP4B_SNP', 'ATP4B_MET', 'ATP4B_CNV', 'ATP4B_RNA']",4
108,ATP6AP2,"['ATP6AP2_SNP', 'ATP6AP2_MET', 'ATP6AP2_CNV', 'ATP6AP2_RNA']",4
109,ATP7A,"['ATP7A_SNP', 'ATP7A_MET', 'ATP7A_CNV', 'ATP7A_RNA']",4
110,ATP7B,"['ATP7B_SNP', 'ATP7B_MET', 'ATP7B_CNV', 'ATP7B_RNA']",4
111,ATR,"['ATR_SNP', 'ATR_MET', 'ATR_CNV', 'ATR_RNA']",4
112,AXL,"['AXL_SNP', 'AXL_MET', 'AXL_CNV', 'AXL_RNA']",4
113,BAD,"['BAD_SNP', 'BAD_MET', 'BAD_CNV', 'BAD_RNA']",4
114,BATF,"['BATF_SNP', 'BATF_MET', 'BATF_CNV', 'BATF_RNA']",4
115,BAX,"['BAX_SNP', 'BAX_MET', 'BAX_CNV', 'BAX_RNA']",4
116,BCAR1,"['BCAR1_SNP', 'BCAR1_MET', 'BCAR1_CNV', 'BCAR1_RNA']",4
117,BCHE,"['BCHE_SNP', 'BCHE_MET', 'BCHE_CNV', 'BCHE_RNA']",4
118,BCL2,"['BCL2_SNP', 'BCL2_MET', 'BCL2_CNV', 'BCL2_RNA']",4
119,BDKRB1,"['BDKRB1_SNP', 'BDKRB1_MET', 'BDKRB1_CNV', 'BDKRB1_RNA']",4
120,BDKRB2,"['BDKRB2_SNP', 'BDKRB2_MET', 'BDKRB2_CNV', 'BDKRB2_RNA']",4
121,BGLAP,"['BGLAP_SNP', 'BGLAP_MET', 'BGLAP_CNV', 'BGLAP_RNA']",4
122,BLVRB,"['BLVRB_SNP', 'BLVRB_MET', 'BLVRB_CNV', 'BLVRB_RNA']",4
123,BRAF,"['BRAF_SNP', 'BRAF_MET', 'BRAF_CNV', 'BRAF_RNA']",4
124,BSND,"['BSND_SNP', 'BSND_MET', 'BSND_CNV', 'BSND_RNA']",4
125,BTC,"['BTC_SNP', 'BTC_MET', 'BTC_CNV', 'BTC_RNA']",4
126,C5AR1,"['C5AR1_SNP', 'C5AR1_MET', 'C5AR1_CNV', 'C5AR1_RNA']",4
127,CA12,"['CA12_SNP', 'CA12_MET', 'CA12_CNV', 'CA12_RNA']",4
128,CA9,"['CA9_SNP', 'CA9_MET', 'CA9_CNV', 'CA9_RNA']",4
129,CACNA1A,"['CACNA1A_SNP', 'CACNA1A_MET', 'CACNA1A_CNV', 'CACNA1A_RNA']",4
130,CACNA1B,"['CACNA1B_SNP', 'CACNA1B_MET', 'CACNA1B_CNV', 'CACNA1B_RNA']",4
131,CACNA1C,"['CACNA1C_SNP', 'CACNA1C_MET', 'CACNA1C_CNV', 'CACNA1C_RNA']",4
132,CACNA1D,"['CACNA1D_SNP', 'CACNA1D_MET', 'CACNA1D_CNV', 'CACNA1D_RNA']",4
133,CACNA1E,"['CACNA1E_SNP', 'CACNA1E_MET', 'CACNA1E_CNV', 'CACNA1E_RNA']",4
134,CACNA1F,"['CACNA1F_SNP', 'CACNA1F_MET', 'CACNA1F_CNV', 'CACNA1F_RNA']",4
135,CACNA1G,"['CACNA1G_SNP', 'CACNA1G_MET', 'CACNA1G_CNV', 'CACNA1G_RNA']",4
136,CACNA1H,"['CACNA1H_SNP', 'CACNA1H_MET', 'CACNA1H_CNV', 'CACNA1H_RNA']",4
137,CACNA1I,"['CACNA1I_SNP', 'CACNA1I_MET', 'CACNA1I_CNV', 'CACNA1I_RNA']",4
138,CACNA1S,"['CACNA1S_SNP', 'CACNA1S_MET', 'CACNA1S_CNV', 'CACNA1S_RNA']",4
139,CACNA2D1,"['CACNA2D1_SNP', 'CACNA2D1_MET', 'CACNA2D1_CNV', 'CACNA2D1_RNA']",4
140,CACNA2D2,"['CACNA2D2_SNP', 'CACNA2D2_MET', 'CACNA2D2_CNV', 'CACNA2D2_RNA']",4
141,CACNA2D3,"['CACNA2D3_SNP', 'CACNA2D3_MET', 'CACNA2D3_CNV', 'CACNA2D3_RNA']",4
142,CACNA2D4,"['CACNA2D4_SNP', 'CACNA2D4_MET', 'CACNA2D4_CNV', 'CACNA2D4_RNA']",4
143,CACNB1,"['CACNB1_SNP', 'CACNB1_MET', 'CACNB1_CNV', 'CACNB1_RNA']",4
144,CACNB2,"['CACNB2_SNP', 'CACNB2_MET', 'CACNB2_CNV', 'CACNB2_RNA']",4
145,CACNB3,"['CACNB3_SNP', 'CACNB3_MET', 'CACNB3_CNV', 'CACNB3_RNA']",4
146,CACNB4,"['CACNB4_SNP', 'CACNB4_MET', 'CACNB4_CNV', 'CACNB4_RNA']",4
147,CACNG1,"['CACNG1_SNP', 'CACNG1_MET', 'CACNG1_CNV', 'CACNG1_RNA']",4
148,CALCA,"['CALCA_SNP', 'CALCA_MET', 'CALCA_CNV', 'CALCA_RNA']",4
149,CALCRL,"['CALCRL_SNP', 'CALCRL_MET', 'CALCRL_CNV', 'CALCRL_RNA']",4
150,CALU,"['CALU_SNP', 'CALU_MET', 'CALU_CNV', 'CALU_RNA']",4
151,CAMK1,"['CAMK1_SNP', 'CAMK1_MET', 'CAMK1_CNV', 'CAMK1_RNA']",4
152,CAMK1D,"['CAMK1D_SNP', 'CAMK1D_MET', 'CAMK1D_CNV', 'CAMK1D_RNA']",4
153,CAMK1G,"['CAMK1G_SNP', 'CAMK1G_MET', 'CAMK1G_CNV', 'CAMK1G_RNA']",4
154,CAMK2A,"['CAMK2A_SNP', 'CAMK2A_MET', 'CAMK2A_CNV', 'CAMK2A_RNA']",4
155,CAMK2B,"['CAMK2B_SNP', 'CAMK2B_MET', 'CAMK2B_CNV', 'CAMK2B_RNA']",4
156,CAMK2D,"['CAMK2D_SNP', 'CAMK2D_MET', 'CAMK2D_CNV', 'CAMK2D_RNA']",4
157,CAMK2G,"['CAMK2G_SNP', 'CAMK2G_MET', 'CAMK2G_CNV', 'CAMK2G_RNA']",4
158,CARTPT,"['CARTPT_SNP', 'CARTPT_MET', 'CARTPT_CNV', 'CARTPT_RNA']",4
159,CASP3,"['CASP3_SNP', 'CASP3_MET', 'CASP3_CNV', 'CASP3_RNA']",4
160,CASP8,"['CASP8_SNP', 'CASP8_MET', 'CASP8_CNV', 'CASP8_RNA']",4
161,CASP9,"['CASP9_SNP', 'CASP9_MET', 'CASP9_CNV', 'CASP9_RNA']",4
162,CASR,"['CASR_SNP', 'CASR_MET', 'CASR_CNV', 'CASR_RNA']",4
163,CAT,"['CAT_SNP', 'CAT_MET', 'CAT_CNV', 'CAT_RNA']",4
164,CBR1,"['CBR1_SNP', 'CBR1_MET', 'CBR1_CNV', 'CBR1_RNA']",4
165,CBR3,"['CBR3_SNP', 'CBR3_MET', 'CBR3_CNV', 'CBR3_RNA']",4
166,CBS,"['CBS_SNP', 'CBS_MET', 'CBS_CNV', 'CBS_RNA']",4
167,CCKBR,"['CCKBR_SNP', 'CCKBR_MET', 'CCKBR_CNV', 'CCKBR_RNA']",4
168,CCNB1,"['CCNB1_SNP', 'CCNB1_MET', 'CCNB1_CNV', 'CCNB1_RNA']",4
169,CD33,"['CD33_SNP', 'CD33_MET', 'CD33_CNV', 'CD33_RNA']",4
170,CD36,"['CD36_SNP', 'CD36_MET', 'CD36_CNV', 'CD36_RNA']",4
171,CDA,"['CDA_SNP', 'CDA_MET', 'CDA_CNV', 'CDA_RNA']",4
172,CDC42,"['CDC42_SNP', 'CDC42_MET', 'CDC42_CNV', 'CDC42_RNA']",4
173,CDK5,"['CDK5_SNP', 'CDK5_MET', 'CDK5_CNV', 'CDK5_RNA']",4
174,CDKN1A,"['CDKN1A_SNP', 'CDKN1A_MET', 'CDKN1A_CNV', 'CDKN1A_RNA']",4
175,CDKN1B,"['CDKN1B_SNP', 'CDKN1B_MET', 'CDKN1B_CNV', 'CDKN1B_RNA']",4
176,CES1,"['CES1_SNP', 'CES1_MET', 'CES1_CNV', 'CES1_RNA']",4
177,CES2,"['CES2_SNP', 'CES2_MET', 'CES2_CNV', 'CES2_RNA']",4
178,CFTR,"['CFTR_SNP', 'CFTR_MET', 'CFTR_CNV', 'CFTR_RNA']",4
179,CHAT,"['CHAT_SNP', 'CHAT_MET', 'CHAT_CNV', 'CHAT_RNA']",4
180,CHEK1,"['CHEK1_SNP', 'CHEK1_MET', 'CHEK1_CNV', 'CHEK1_RNA']",4
181,CHEK2,"['CHEK2_SNP', 'CHEK2_MET', 'CHEK2_CNV', 'CHEK2_RNA']",4
182,CHPT1,"['CHPT1_SNP', 'CHPT1_MET', 'CHPT1_CNV', 'CHPT1_RNA']",4
183,CHRM3,"['CHRM3_SNP', 'CHRM3_MET', 'CHRM3_CNV', 'CHRM3_RNA']",4
184,CHRNA1,"['CHRNA1_SNP', 'CHRNA1_MET', 'CHRNA1_CNV', 'CHRNA1_RNA']",4
185,CHRNA3,"['CHRNA3_SNP', 'CHRNA3_MET', 'CHRNA3_CNV', 'CHRNA3_RNA']",4
186,CHRNA4,"['CHRNA4_SNP', 'CHRNA4_MET', 'CHRNA4_CNV', 'CHRNA4_RNA']",4
187,CHRNA5,"['CHRNA5_SNP', 'CHRNA5_MET', 'CHRNA5_CNV', 'CHRNA5_RNA']",4
188,CHRNA6,"['CHRNA6_SNP', 'CHRNA6_MET', 'CHRNA6_CNV', 'CHRNA6_RNA']",4
189,CHRNA7,"['CHRNA7_SNP', 'CHRNA7_MET', 'CHRNA7_CNV', 'CHRNA7_RNA']",4
190,CHRNB1,"['CHRNB1_SNP', 'CHRNB1_MET', 'CHRNB1_CNV', 'CHRNB1_RNA']",4
191,CHRNB2,"['CHRNB2_SNP', 'CHRNB2_MET', 'CHRNB2_CNV', 'CHRNB2_RNA']",4
192,CHRNB4,"['CHRNB4_SNP', 'CHRNB4_MET', 'CHRNB4_CNV', 'CHRNB4_RNA']",4
193,CHRND,"['CHRND_SNP', 'CHRND_MET', 'CHRND_CNV', 'CHRND_RNA']",4
194,CHRNE,"['CHRNE_SNP', 'CHRNE_MET', 'CHRNE_CNV', 'CHRNE_RNA']",4
195,CKB,"['CKB_SNP', 'CKB_MET', 'CKB_CNV', 'CKB_RNA']",4
196,CKM,"['CKM_SNP', 'CKM_MET', 'CKM_CNV', 'CKM_RNA']",4
197,CLCNKA,"['CLCNKA_SNP', 'CLCNKA_MET', 'CLCNKA_CNV', 'CLCNKA_RNA']",4
198,CLCNKB,"['CLCNKB_SNP', 'CLCNKB_MET', 'CLCNKB_CNV', 'CLCNKB_RNA']",4
199,CMA1,"['CMA1_SNP', 'CMA1_MET', 'CMA1_CNV', 'CMA1_RNA']",4
200,CMPK1,"['CMPK1_SNP', 'CMPK1_MET', 'CMPK1_CNV', 'CMPK1_RNA']",4
201,CMPK2,"['CMPK2_SNP', 'CMPK2_MET', 'CMPK2_CNV', 'CMPK2_RNA']",4
202,CNR1,"['CNR1_SNP', 'CNR1_MET', 'CNR1_CNV', 'CNR1_RNA']",4
203,CNR2,"['CNR2_SNP', 'CNR2_MET', 'CNR2_CNV', 'CNR2_RNA']",4
204,COL1A1,"['COL1A1_SNP', 'COL1A1_MET', 'COL1A1_CNV', 'COL1A1_RNA']",4
205,COL1A2,"['COL1A2_SNP', 'COL1A2_MET', 'COL1A2_CNV', 'COL1A2_RNA']",4
206,COL3A1,"['COL3A1_SNP', 'COL3A1_MET', 'COL3A1_CNV', 'COL3A1_RNA']",4
207,COL4A1,"['COL4A1_SNP', 'COL4A1_MET', 'COL4A1_CNV', 'COL4A1_RNA']",4
208,COL4A2,"['COL4A2_SNP', 'COL4A2_MET', 'COL4A2_CNV', 'COL4A2_RNA']",4
209,COMT,"['COMT_SNP', 'COMT_MET', 'COMT_CNV', 'COMT_RNA']",4
210,CRH,"['CRH_SNP', 'CRH_MET', 'CRH_CNV', 'CRH_RNA']",4
211,CRHR1,"['CRHR1_SNP', 'CRHR1_MET', 'CRHR1_CNV', 'CRHR1_RNA']",4
212,CRHR2,"['CRHR2_SNP', 'CRHR2_MET', 'CRHR2_CNV', 'CRHR2_RNA']",4
213,CRK,"['CRK_SNP', 'CRK_MET', 'CRK_CNV', 'CRK_RNA']",4
214,CRTC2,"['CRTC2_SNP', 'CRTC2_MET', 'CRTC2_CNV', 'CRTC2_RNA']",4
215,CSK,"['CSK_SNP', 'CSK_MET', 'CSK_CNV', 'CSK_RNA']",4
216,CTH,"['CTH_SNP', 'CTH_MET', 'CTH_CNV', 'CTH_RNA']",4
217,CTNNB1,"['CTNNB1_SNP', 'CTNNB1_MET', 'CTNNB1_CNV', 'CTNNB1_RNA']",4
218,CTSA,"['CTSA_SNP', 'CTSA_MET', 'CTSA_CNV', 'CTSA_RNA']",4
219,CTSG,"['CTSG_SNP', 'CTSG_MET', 'CTSG_CNV', 'CTSG_RNA']",4
220,CYB5A,"['CYB5A_SNP', 'CYB5A_MET', 'CYB5A_CNV', 'CYB5A_RNA']",4
221,CYB5R3,"['CYB5R3_SNP', 'CYB5R3_MET', 'CYB5R3_CNV', 'CYB5R3_RNA']",4
222,CYBA,"['CYBA_SNP', 'CYBA_MET', 'CYBA_CNV', 'CYBA_RNA']",4
223,CYCS,"['CYCS_SNP', 'CYCS_MET', 'CYCS_CNV', 'CYCS_RNA']",4
224,CYP11B2,"['CYP11B2_SNP', 'CYP11B2_MET', 'CYP11B2_CNV', 'CYP11B2_RNA']",4
225,CYP19A1,"['CYP19A1_SNP', 'CYP19A1_MET', 'CYP19A1_CNV', 'CYP19A1_RNA']",4
226,CYP1A1,"['CYP1A1_SNP', 'CYP1A1_MET', 'CYP1A1_CNV', 'CYP1A1_RNA']",4
227,CYP1A2,"['CYP1A2_SNP', 'CYP1A2_MET', 'CYP1A2_CNV', 'CYP1A2_RNA']",4
228,CYP1B1,"['CYP1B1_SNP', 'CYP1B1_MET', 'CYP1B1_CNV', 'CYP1B1_RNA']",4
229,CYP2A13,"['CYP2A13_SNP', 'CYP2A13_MET', 'CYP2A13_CNV', 'CYP2A13_RNA']",4
230,CYP2A6,"['CYP2A6_SNP', 'CYP2A6_MET', 'CYP2A6_CNV', 'CYP2A6_RNA']",4
231,CYP2B6,"['CYP2B6_SNP', 'CYP2B6_MET', 'CYP2B6_CNV', 'CYP2B6_RNA']",4
232,CYP2C18,"['CYP2C18_SNP', 'CYP2C18_MET', 'CYP2C18_CNV', 'CYP2C18_RNA']",4
233,CYP2C19,"['CYP2C19_SNP', 'CYP2C19_MET', 'CYP2C19_CNV', 'CYP2C19_RNA']",4
234,CYP2C8,"['CYP2C8_SNP', 'CYP2C8_MET', 'CYP2C8_CNV', 'CYP2C8_RNA']",4
235,CYP2C9,"['CYP2C9_SNP', 'CYP2C9_MET', 'CYP2C9_CNV', 'CYP2C9_RNA']",4
236,CYP2D6,"['CYP2D6_SNP', 'CYP2D6_MET', 'CYP2D6_CNV', 'CYP2D6_RNA']",4
237,CYP2E1,"['CYP2E1_SNP', 'CYP2E1_MET', 'CYP2E1_CNV', 'CYP2E1_RNA']",4
238,CYP2J2,"['CYP2J2_SNP', 'CYP2J2_MET', 'CYP2J2_CNV', 'CYP2J2_RNA']",4
239,CYP2W1,"['CYP2W1_SNP', 'CYP2W1_MET', 'CYP2W1_CNV', 'CYP2W1_RNA']",4
240,CYP3A4,"['CYP3A4_SNP', 'CYP3A4_MET', 'CYP3A4_CNV', 'CYP3A4_RNA']",4
241,CYP3A43,"['CYP3A43_SNP', 'CYP3A43_MET', 'CYP3A43_CNV', 'CYP3A43_RNA']",4
242,CYP3A5,"['CYP3A5_SNP', 'CYP3A5_MET', 'CYP3A5_CNV', 'CYP3A5_RNA']",4
